,Constituency,Const. No.,Leading Candidate,Leading Party,Won,Trailing Candidate,Trailing Party,Margin
67,Rae Bareli,36,RAHUL GANDHI,Indian National Congress,6,DINESH PRATAP SINGH,Bharatiya Janata Party,390030
68,Rampur,7,MOHIBBULLAH,Samajwadi Party,37,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434
69,Robertsganj,80,CHHOTELAL,Samajwadi Party,37,RINKI SINGH,Apna Dal (Soneylal),129234
70,Saharanpur,1,IMRAN MASOOD,Indian National Congress,6,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542
71,Salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,37,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573
72,Sambhal,8,ZIA UR REHMAN,Samajwadi Party,37,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494
73,Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,37,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170
74,Shahjahanpur,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,33,JYOTSNA GOND,Samajwadi Party,55379
75,Shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,37,SAKET MISRA,Bharatiya Janata Party,76673
76,Sitapur,30,RAKESH RATHOR,Indian National Congress,6,RAJESH VERMA,Bharatiya Janata Party,89641
77,Sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,37,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174
78,Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,33,ANNU TANDON,Samajwadi Party,35818
79,Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,33,AJAY RAI,Indian National Congress,152513
