,Sl.No,State,PC Name,Count of Elector,Poll(%),Count of Votes
367,82,Uttar Pradesh,Kannauj,1988925,61.08,1214886
368,83,Uttar Pradesh,Kanpur,1662859,53.05,882074
369,84,Uttar Pradesh,Kheri,1870170,64.68,1209621
370,85,Uttar Pradesh,Misrikh,1878195,55.89,1049630
371,86,Uttar Pradesh,Shahjahanpur,2331834,53.36,1244364
372,87,Uttar Pradesh,Sitapur,1759943,62.54,1100741
373,88,Uttar Pradesh,Unnao,2341740,55.46,1298677
374,89,West Bengal,Asansol,1770281,73.27,1297096
375,90,West Bengal,Baharampur,1783078,77.54,1382678
376,91,West Bengal,Bardhaman Purba,1801333,82.85,1492453
377,92,West Bengal,Bardhaman-Durgapur,1851780,80.72,1494778
378,93,West Bengal,Birbhum,1857022,81.91,1521023
379,94,West Bengal,Bolpur,1839234,82.66,1520401
380,95,West Bengal,Krishnanagar,1755631,80.65,1415859
381,96,West Bengal,Ranaghat,1871658,81.87,1532304
383,1,Bihar,Hajipur,1967094,58.43,1149406
384,2,Bihar,Madhubani,1934980,53.04,1026408
385,3,Bihar,Muzaffarpur,1866106,59.47,1109688
386,4,Bihar,Saran,1795010,56.73,1018366
387,5,Bihar,Sitamarhi,1947996,56.21,1094885
388,6,Jammu and Kashmir,BARAMULLA,1737865,59.1,1027084
389,7,Jharkhand,Chatra,1689926,63.69,1076352
390,8,Jharkhand,Hazaribagh,1939374,64.39,1248798
391,9,Jharkhand,Kodarma,2205318,61.81,1363010
392,10,Ladakh,Ladakh,184808,71.82,132727
393,11,Maharashtra,Bhiwandi,2087244,59.89,1250090
394,12,Maharashtra,Dhule,2022061,60.21,1217523
395,13,Maharashtra,Dindori ,1853387,66.75,1237180
396,14,Maharashtra,Kalyan,2082221,50.12,1043610
397,15,Maharashtra,Mumbai North,1811942,57.02,1033241
398,16,Maharashtra,Mumbai North Central,1744128,51.98,906530
399,17,Maharashtra,Mumbai North East,1636890,56.37,922760
400,18,Maharashtra,Mumbai North West,1735088,54.84,951580
401,19,Maharashtra,Mumbai South,1536168,50.06,769010
402,20,Maharashtra,Mumbai South Central,1474405,53.6,790339
403,21,Maharashtra,Nashik,2030124,60.75,1233379
404,22,Maharashtra,Palghar,2148514,63.91,1373162
405,23,Maharashtra,Thane,2507372,52.09,1306194
406,24,Odisha,Aska,1620974,62.67,1015883
407,25,Odisha,Bargarh,1631974,79.78,1302069
408,26,Odisha,Bolangir,1801744,77.52,1396719
409,27,Odisha,Kandhamal,1339090,74.16,993091
410,28,Odisha,Sundargarh,1576105,73.02,1150875
411,29,Uttar Pradesh,Amethi,1796098,54.34,976053
